subject,status,sec,error,limit,limit_float,m_at_infinity,m_at_infinity_float,generic_rank,rank_at_infinity,method,has_weighting_at_infinity,poles_status,n_poles,largest_pole_t,degree_den
88,ok,51.41481670900248,,21,21.0,22,22.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,0.37313511503672464,137.0
89,ok,17.282373124966398,,45/7,6.428571428571429,10,10.0,23.0,21.0,bordered determinant (generic full rank),True,ok,2.0,0.8940277232337575,108.0
90,ok,26.324668667046353,,7,7.0,7,7.0,23.0,23.0,bordered determinant (generic full rank),True,ok,3.0,0.6811361512055315,123.0
91,ok,27.740598874981515,,14,14.0,15,15.0,23.0,19.0,bordered determinant (generic full rank),True,ok,3.0,0.214421798499166,112.0
92,ok,41.15717958298046,,16,16.0,17,17.0,23.0,19.0,bordered determinant (generic full rank),True,ok,4.0,0.3996567350727942,133.0
93,ok,16.461908291908912,,11,11.0,12,12.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.9919349623885285,92.0
94,ok,53.72608491696883,,19,19.0,20,20.0,23.0,22.0,bordered determinant (generic full rank),True,ok,5.0,0.8030210634285588,137.0
95,ok,36.003785541979596,,7,7.0,7,7.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.799203261748965,131.0
96,ok,32.33178804104682,,2,2.0,8,8.0,23.0,20.0,bordered determinant (generic full rank),True,ok,2.0,0.8803013429310842,133.0
97,ok,30.13512716605328,,18,18.0,21,21.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.21249239988112809,108.0
98,ok,22.489294833969325,,11,11.0,12,12.0,23.0,22.0,bordered determinant (generic full rank),True,ok,2.0,0.34111922884749435,109.0
99,ok,30.24297991709318,,85/9,9.444444444444445,47/5,9.4,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.4420128460378232,120.0
100,ok,47.468316375045106,,19,19.0,20,20.0,23.0,22.0,bordered determinant (generic full rank),True,ok,5.0,0.3558831758711607,135.0
101,ok,34.79727295797784,,23/2,11.5,13,13.0,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.9667809554731032,114.0
102,ok,31.781050208956003,,16,16.0,18,18.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,0.4927191043112926,121.0
103,ok,43.24919225007761,,19,19.0,20,20.0,23.0,22.0,bordered determinant (generic full rank),True,ok,6.0,0.6677665392918818,133.0
104,ok,29.05603533401154,,14,14.0,14,14.0,23.0,20.0,bordered determinant (generic full rank),True,ok,3.0,1.3822263287572598,116.0
105,ok,15.822274792008102,,5,5.0,5,5.0,23.0,22.0,bordered determinant (generic full rank),True,ok,3.0,0.8655082506221531,105.0
106,ok,34.139984166948125,,71/15,4.733333333333333,71/15,4.733333333333333,23.0,23.0,bordered determinant (generic full rank),True,ok,2.0,0.3930929581761863,133.0
107,ok,28.86730754096061,,101/9,11.222222222222221,14,14.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.8559439092727931,122.0
108,ok,31.81702883297112,,17,17.0,18,18.0,23.0,18.0,bordered determinant (generic full rank),True,ok,6.0,1.2569921394249395,115.0
109,ok,33.422797499923036,,56/5,11.2,15,15.0,23.0,18.0,bordered determinant (generic full rank),True,ok,2.0,0.24459931720056322,127.0
110,ok,39.36092929192819,,14,14.0,15,15.0,23.0,19.0,bordered determinant (generic full rank),True,ok,5.0,1.386912670417389,121.0
111,ok,34.42984545906074,,127/11,11.545454545454545,138/11,12.545454545454545,23.0,22.0,bordered determinant (generic full rank),True,ok,6.0,0.7519645168159822,106.0
112,ok,20.43091925000772,,19,19.0,20,20.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,0.8715642560868232,89.0
113,ok,22.554004291072488,,14,14.0,16,16.0,23.0,20.0,bordered determinant (generic full rank),True,ok,3.0,0.5213119181685144,102.0
114,ok,35.01255758292973,,11,11.0,11,11.0,23.0,21.0,bordered determinant (generic full rank),True,ok,2.0,0.9618081425698104,124.0
115,ok,31.238419292028993,,12,12.0,12,12.0,23.0,22.0,bordered determinant (generic full rank),True,ok,4.0,0.44334660951685717,123.0
116,ok,38.763880540966056,,157/15,10.466666666666667,11,11.0,23.0,21.0,bordered determinant (generic full rank),True,ok,3.0,0.47595151443249994,128.0
117,ok,48.19424091698602,,15,15.0,16,16.0,23.0,22.0,bordered determinant (generic full rank),True,ok,6.0,0.6982923102066351,136.0
118,ok,33.168398792040534,,13,13.0,17,17.0,23.0,21.0,bordered determinant (generic full rank),True,ok,4.0,0.4812031427084807,126.0
119,ok,36.46808641694952,,44/3,14.666666666666666,18,18.0,23.0,18.0,bordered determinant (generic full rank),True,ok,4.0,0.9821678966952737,131.0
