subject,status,sec,error,size,rank_at_infinity,limit,limit_float,limit_decimal,limit_method,limit_is_proved,curve_method,poles_method,n_poles,n_blind
30,ok,32.4686975000659,,23.0,21.0,16,16.0,16,symbolic,True,symbolic,symbolic,5.0,0.0
31,ok,21.86409483407624,,23.0,22.0,18,18.0,18,symbolic,True,symbolic,symbolic,5.0,0.0
32,ok,0.5599196670809761,,23.0,23.0,5,5.0,5,zero_pattern,True,arbitrary_precision,sign_change,1.0,0.0
33,ok,24.163438874995336,,23.0,21.0,56/3,18.666666666666668,18.6666666666667,symbolic,True,symbolic,symbolic,5.0,0.0
34,ok,25.25760720903054,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,4.0,0.0
35,ok,25.67535962490365,,23.0,21.0,17,17.0,17,symbolic,True,symbolic,symbolic,4.0,0.0
36,ok,27.570895083015785,,23.0,22.0,16,16.0,16,symbolic,True,symbolic,symbolic,4.0,0.0
37,ok,21.764682332985103,,23.0,18.0,14,14.0,14,symbolic,True,symbolic,symbolic,4.0,0.0
38,ok,19.66750574996695,,23.0,22.0,101/15,6.733333333333333,6.73333333333333,symbolic,True,symbolic,symbolic,2.0,0.0
39,ok,0.5521508340025321,,23.0,23.0,35/3,11.666666666666666,11.6666666666667,zero_pattern,True,arbitrary_precision,sign_change,3.0,0.0
40,ok,36.16027466696687,,23.0,21.0,10,10.0,10,symbolic,True,symbolic,symbolic,4.0,0.0
41,ok,8.14415266609285,,23.0,22.0,21,21.0,21,symbolic,True,symbolic,symbolic,1.0,0.0
42,ok,27.20267787494231,,23.0,20.0,4,4.0,4,symbolic,True,symbolic,symbolic,2.0,0.0
43,ok,12.331427917000838,,23.0,21.0,17,17.0,17,symbolic,True,symbolic,symbolic,2.0,0.0
44,ok,23.55137466697488,,23.0,19.0,163/12,13.583333333333334,13.5833333333333,symbolic,True,symbolic,symbolic,5.0,0.0
45,error,19.887601665919647,ValueError: math domain error,,,,,,,,,,,
46,ok,21.121399666997604,,23.0,19.0,16/3,5.333333333333333,5.33333333333333,symbolic,True,symbolic,symbolic,3.0,0.0
47,error,14.492458833032288,ValueError: math domain error,,,,,,,,,,,
48,ok,14.600223707966506,,23.0,16.0,6,6.0,6,symbolic,True,symbolic,symbolic,1.0,0.0
49,ok,29.358599042054266,,23.0,21.0,64/7,9.142857142857142,9.14285714285714,symbolic,True,symbolic,symbolic,3.0,0.0
50,ok,37.39134874998126,,23.0,20.0,15,15.0,15,symbolic,True,symbolic,symbolic,4.0,0.0
51,ok,28.92470570805017,,23.0,21.0,-11/3,-3.6666666666666665,-3.66666666666667,symbolic,True,symbolic,symbolic,3.0,0.0
52,ok,50.52969562495127,,23.0,22.0,65/3,21.666666666666668,21.6666666666667,symbolic,True,symbolic,symbolic,7.0,0.0
53,ok,45.91028475004714,,23.0,21.0,92/5,18.4,18.4,symbolic,True,symbolic,symbolic,4.0,0.0
54,ok,41.8591605409747,,23.0,22.0,20,20.0,20,symbolic,True,symbolic,symbolic,3.0,0.0
55,ok,45.285415666992776,,23.0,18.0,53/3,17.666666666666668,17.6666666666667,symbolic,True,symbolic,symbolic,4.0,0.0
56,ok,37.84572937490884,,23.0,22.0,394/49,8.040816326530612,8.04081632653061,symbolic,True,symbolic,symbolic,3.0,0.0
57,ok,0.832030083052814,,23.0,23.0,23,23.0,23,zero_pattern,True,arbitrary_precision,sign_change,3.0,0.0
58,ok,23.517953665927052,,23.0,19.0,13,13.0,13,symbolic,True,symbolic,symbolic,4.0,0.0
59,ok,32.134513082914054,,23.0,19.0,10,10.0,10,symbolic,True,symbolic,symbolic,2.0,0.0
60,ok,0.5680921659804881,,23.0,23.0,25/3,8.333333333333334,8.33333333333333,zero_pattern,True,arbitrary_precision,sign_change,2.0,0.0
61,ok,29.83624516695272,,23.0,20.0,14,14.0,14,symbolic,True,symbolic,symbolic,3.0,0.0
62,ok,29.86318291700445,,23.0,21.0,21,21.0,21,symbolic,True,symbolic,symbolic,5.0,0.0
63,ok,27.11173750006128,,23.0,21.0,46/3,15.333333333333334,15.3333333333333,symbolic,True,symbolic,symbolic,3.0,0.0
64,ok,16.79429754195735,,23.0,21.0,19,19.0,19,symbolic,True,symbolic,symbolic,4.0,0.0
65,ok,0.5513133329804987,,23.0,23.0,23,23.0,23,zero_pattern,True,arbitrary_precision,sign_change,3.0,0.0
