sub,status,prev,limit,limit_float,changed,rank,sec,error
101,ok,12.999999999999998,23/2,11.5,True,21.0,25.020830094999837,
102,ok,18.0,16,16.0,True,22.0,30.380539472000237,
103,ok,20.0,19,19.0,True,22.0,31.05494572200041,
104,ok,13.999999999999996,14,14.0,False,20.0,31.155705221999597,
105,ok,5.000000000000001,5,5.0,False,22.0,14.71070904699991,
106,ok,4.733333333333316,71/15,4.733333333333333,False,23.0,36.8809027669995,
107,ok,13.999999999999996,101/9,11.222222222222221,True,21.0,27.545386180001515,
108,ok,18.0,17,17.0,True,18.0,24.925157179000962,
109,ok,15.0,56/5,11.2,True,18.0,35.606633350000266,
110,ok,15.000000000000004,14,14.0,True,19.0,30.683293848000176,
111,ok,12.545454545454543,127/11,11.545454545454545,True,22.0,28.654961262998768,
112,ok,20.0,19,19.0,True,22.0,19.49755338400064,
113,ok,16.000000000000007,14,14.0,True,20.0,18.1271504669985,
114,ok,10.999999999999996,11,11.0,False,21.0,27.91094330499982,
115,ok,12.000000000000002,12,12.0,False,22.0,18.430775008999262,
116,ok,11.000000000000002,157/15,10.466666666666667,True,21.0,30.28833247199873,
117,ok,16.000000000000004,15,15.0,True,22.0,26.52060676200017,
118,ok,17.000000000000007,13,13.0,True,21.0,19.887508091998825,
119,ok,18.0,44/3,14.666666666666666,True,18.0,23.148340968999037,
